Vocabulary,P(not Spam),P(Spam)
please,0.002736638763683194,0.0010109763142692085
investigating,0.0004829362524146813,0.00014442518775274407
see,0.0011268512556342563,0.0010109763142692085
breakins,0.0004829362524146813,0.00014442518775274407
activity,0.0008048937540244687,0.0007221259387637204
cupd,0.0017707662588538314,0.00014442518775274407
is,0.0075660012878300065,0.009098786828422877
lot,0.0004829362524146813,0.00014442518775274407
if,0.0011268512556342563,0.00028885037550548814
911,0.0003219575016097875,0.00014442518775274407
safe,0.0011268512556342563,0.0007221259387637204
in,0.011268512556342562,0.01097631426920855
secure,0.0003219575016097875,0.0005777007510109763
vehicle,0.0011268512556342563,0.00014442518775274407
parking,0.0004829362524146813,0.00014442518775274407
suspicious,0.0011268512556342563,0.00014442518775274407
cu,0.0022537025112685126,0.0005777007510109763
call,0.0008048937540244687,0.0008665511265164644
r6,0.0004829362524146813,0.00014442518775274407
alert,0.002736638763683194,0.0027440785673021376
donât,0.0004829362524146813,0.0005777007510109763
iâll,0.0003219575016097875,0.00014442518775274407
developerâ,0.0003219575016097875,0.00014442518775274407
question,0.0004829362524146813,0.00014442518775274407
think,0.0008048937540244687,0.00014442518775274407
ever,0.0003219575016097875,0.0007221259387637204
python,0.0014488087572440437,0.0004332755632582322
professional,0.0008048937540244687,0.00028885037550548814
âi,0.0003219575016097875,0.00014442518775274407
reader,0.0003219575016097875,0.00014442518775274407
some,0.0004829362524146813,0.0007221259387637204
need,0.000643915003219575,0.0014442518775274408
cash,0.0004829362524146813,0.0004332755632582322
quick,0.0004829362524146813,0.0005777007510109763
special,0.0035415325177076628,0.0010109763142692085
thursday,0.0024146812620734065,0.00014442518775274407
weather,0.0020927237604636186,0.0004332755632582322
20,0.0011268512556342563,0.002021952628538417
update,0.0022537025112685126,0.0007221259387637204
inside,0.0019317450096587251,0.0010109763142692085
winter,0.0014488087572440437,0.00028885037550548814
feb,0.0022537025112685126,0.0005777007510109763
now,0.0037025112685125563,0.003755054881571346
sale,0.0019317450096587251,0.00389948006932409
growl,0.0003219575016097875,0.00028885037550548814
prowl,0.0004829362524146813,0.00028885037550548814
tickets,0.000643915003219575,0.0011554015020219526
product,0.0003219575016097875,0.00014442518775274407
updates,0.0011268512556342563,0.00028885037550548814
18,0.0003219575016097875,0.00028885037550548814
february,0.0014488087572440437,0.0015886770652801848
college,0.0009658725048293626,0.0005777007510109763
honors,0.000643915003219575,0.00028885037550548814
open,0.0017707662588538314,0.0010109763142692085
application,0.0028976175144880875,0.0008665511265164644
project,0.0024146812620734065,0.0004332755632582322
new,0.006761107533805538,0.00707683419988446
invited,0.000643915003219575,0.0010109763142692085
are,0.002736638763683194,0.004332755632582322
join,0.0008048937540244687,0.0010109763142692085
projected,0.0004829362524146813,0.00014442518775274407
electricity,0.0004829362524146813,0.00014442518775274407
cost,0.0004829362524146813,0.00014442518775274407
0205,0.0003219575016097875,0.00014442518775274407
0303,0.0003219575016097875,0.00014442518775274407
there,0.0004829362524146813,0.0005777007510109763
still,0.0003219575016097875,0.0005777007510109763
m,0.0008048937540244687,0.0005777007510109763
not,0.000643915003219575,0.0005777007510109763
feeling,0.0003219575016097875,0.0004332755632582322
i,0.0016097875080489374,0.0007221259387637204
well,0.0003219575016097875,0.0004332755632582322
elearning,0.0003219575016097875,0.00014442518775274407
day,0.0016097875080489374,0.004766031195840554
cpsc,0.00128783000643915,0.00014442518775274407
sp20,0.0004829362524146813,0.00014442518775274407
database,0.0004829362524146813,0.00028885037550548814
4620,0.0004829362524146813,0.00014442518775274407
management,0.000643915003219575,0.0004332755632582322
beware,0.000643915003219575,0.00014442518775274407
potential,0.0008048937540244687,0.0005777007510109763
scams,0.000643915003219575,0.00014442518775274407
4890,0.0003219575016097875,0.00014442518775274407
competition,0.000643915003219575,0.00014442518775274407
harrison,0.0004829362524146813,0.00028885037550548814
hall,0.000643915003219575,0.00028885037550548814
guide,0.000643915003219575,0.00014442518775274407
